TAG	TEXT	COMMENT
ACCESSIBILITY_WELCOME_TO_HEARTHSTONE	Willkommen zu Hearthstone

ACCESSIBILITY_PRESS_KEY_TO_START	Drücke {0} um zu Starten	0=key e.g. Drücke Enter um zu Starten
ACCESSIBILITY_PRESS_KEY_TO_CONTINUE	Drücke {0} um fortzufahren	0=key e.g. Drücke enter um fortzufahren
ACCESSIBILITY_PRESS_KEY_TO_FINISH	Drücke {0} um die Aktion abzuschließen	0=key e.g. Drücke Enter um die Aktion abzuschließen
ACCESSIBILITY_PRESS_KEY_TO_GO_BACK	Drücke {0} um zurück zu gehen	0=key e.g. Press backspace to go back
ACCESSIBILITY_PRESS_KEY_TO_EXIT	Drücke {0} zum Beenden	0=key e.g. Press Enter to exit
ACCESSIBILITY_PRESS_KEY_ONCE_DONE	Drücke {0}, wenn du fertig bist	0=key e.g. Drücke enter, wenn du fertig bist

ACCESSIBILITY_MENU_HELP_NO_BACK_BUTTON	Verwende die Pfeiltasten nach oben und nach unten, um dich durch das Menü zu bewegen. Drücke {0} um eine Option auszuwählen 	0=Enter key
ACCESSIBILITY_MENU_HELP_WITH_BACK_BUTTON	Verwende die Pfeiltasten nach oben und nach unten, um dich durch das Menü zu bewegen. Drücke {0} um eine Option auszuwählen und {1} um zurück zu gehen	0=Enter key 1=Backspace key
ACCESSIBILITY_MENU_HORIZONTAL_HELP_NO_BACK_BUTTON	Verwende die Pfeiltaste nach links und nach rechts, um dich durch das Menü zu bewegen. Mit Pfeiltaste nach oben und unten kannst du dir die Option noch einmal vorlesen lassen. Drücke {0} um eine Option auszuwählen	0=Enter key
ACCESSIBILITY_MENU_HORIZONTAL_HELP_WITH_BACK_BUTTON	Verwende die Pfeiltaste nach links und nach rechts, um dich durch das Menü zu bewegen. Mit Pfeiltaste nach oben und unten kannst du dir die Option noch einmal vorlesen lassen. Drücke {0} um eine Option auszuwählen und {1} um zurück zu gehen.	0=Enter key 1=Backspace key
ACCESSIBILITY_MENU_OPTION_FORMAT	{0} {1} von {2}	0=option name 1=option number 2=options count e.g. Options 1 of 2
ACCESSIBILITY_LIST_NO_ITEMS	Keine Einträge	

ACCESSIBILITY_OPTIONS_MENU_TITLE	Einstellungsmenü	
ACCESSIBILITY_OPTIONS_MENU_GRAPHICS_QUALITY_OPTION	Grafik qualität	
ACCESSIBILITY_OPTIONS_MENU_GRAPHICS_RESOLUTION_OPTION	Grafik auflösung	
ACCESSIBILITY_OPTIONS_MENU_ADJUST_VOLUME	Verwende die linke und rechte Pfeiltaste um die Lautstärke einzustellen
ACCESSIBILITY_OPTIONS_MENU_CHECKBOX_LABEL	{0} Kontrollfeld	0=checkbox name e.g. {Fullscreen} checkbox
ACCESSIBILITY_OPTIONS_MENU_CHECKBOX_CHECKED	aktiviert	
ACCESSIBILITY_OPTIONS_MENU_CHECKBOX_NOT_CHECKED	nicht aktiviert	
ACCESSIBILITY_HUB_MAIN_MENU_TITLE	Hauptmenü	
ACCESSIBILITY_HUB_MAIN_MENU_OPTION_GAME_MENU	Drücke jederzeit {0} um das Spielmenü zu öffnen, versuch es doch einmal!	0=Esc key
ACCESSIBILITY_HUB_MAIN_MENU_OPTION_SOCIAL_MENU	Drücke jederzeit {0} um das Social-Menü zu öffnen, versuch es doch einmal!		0=F4 key
ACCESSIBILITY_HUB_MAIN_MENU_OPTION_HELP	Du kannst jederzeit {0} drücken, wenn du nicht mehr weiter weißt. Wenn du die Hilfe einer sehenden Person brauchst, kannst du jederzeit {1} drücken, um die Barrierefreiheit zu deaktivieren und ihr zu erlauben, das Spiel wie gewohnt mit der Maus zu steuern. Vergiss nicht, {1} zu drücken, wenn du keine hilfe mehr brauchst, um die Barrierefreiheit wieder zu aktivieren.	0=Esc key 1=F8 key

ACCESSIBILITY_GLOBAL_LOADING_GAME	Spiel wird geladen	
ACCESSIBILITY_GLOBAL_CLOSING_GAME	Spiel wird geschlossen	
ACCESSIBILITY_GLOBAL_GAME_LOADED	Spiel geladen	
ACCESSIBILITY_GLOBAL_LOADING	Wird geladen	
ACCESSIBILITY_GLOBAL_PLEASE_WAIT	Bitte warten	
ACCESSIBILITY_GLOBAL_CARD	Karte	
ACCESSIBILITY_GLOBAL_CARD_PLURAL	Karten	
ACCESSIBILITY_GLOBAL_HERO	Held	
ACCESSIBILITY_GLOBAL_HERO_POWER	Heldenfähigkeit	
ACCESSIBILITY_GLOBAL_SECRET	{0} Geheimnis	0=secret class e.g. {Mage} secret
ACCESSIBILITY_GLOBAL_GAME_SPEED	Spielgeschwindigkeit {0}	0=current game speed
ACCESSIBILITY_GLOBAL_GAME_SPEED_CANNOT_ADJUST_VS_PLAYERS	Du kannst die Spielgeschwindigkeit nicht anpassen, wenn du gegen menschliche Gegner spielst.	
ACCESSIBILITY_GLOBAL_NEW_HEARTHSTONE_ACCESS_VERSION_AVAILABLE	Eine neue Version von Hearthstone Access ist verfügbar. Bitte führe den Patcher wann immer möglich erneut aus, da er Fehlerbehebungen enthalten kann.	
ACCESSIBILITY_GLOBAL_CANNOT_DO_THAT	Das kannst du nicht tun	
ACCESSIBILITY_GLOBAL_SWITCH_FORMAT	Format wechseln	Used as a menu option for switching between standard, wild and classic
